"Word","Frequency"
"abandon","3"
"abat","2"
"abhor","3"
"abhorreth","1"
"abid","1"
"abod","5"
"abode","1"
"abound","4"
"about","1"
"abov","15"
"above","6"
"absent","4"
"absorb","3"
"abstin","1"
"abyss","5"
"acarnania","1"
"accent","2"
"accid","2"
"accord","4"
"accost","1"
"accus","1"
"accustom","2"
"ach","4"
"achelous","1"
"acheron","2"
"acherusia","1"
"achiev","1"
"acroceraunian","1"
"act","6"
"actium","1"
"actor","1"
"ad","2"
"ada","1"
"adamantin","1"
"add","1"
"address","1"
"adieu","10"
"admir","2"
"admirat","1"
"admire","1"
"ador","13"
"adorn","3"
"adorner","1"
"adown","1"
"adriatic","1"
"adulter","1"
"advanc","4"
"adventur","2"
"advers","2"
"aegi","1"
"aegina","1"
"aetna","1"
"aetolia","1"
"afar","9"
"afarand","1"
"affect","6"
"afflict","1"
"afford","1"
"afoot","1"
"afric","2"
"after","2"
"again","35"
"against","10"
"agat","1"
"age","29"
"agen","1"
"ages","2"
"aghast","1"
"agit","1"
"ago","2"
"agoni","6"
"ah","12"
"aid","6"
"aim","5"
"aime","1"
"air","21"
"airi","4"
"aisl","2"
"ala","10"
"alaric","1"
"alarm","1"
"alas","10"
"alban","1"
"albania","5"
"albanian","3"
"albano","1"
"albeit","7"
"albion","6"
"albuera","2"
"albyn","1"
"alchemi","1"
"alcide","1"
"alexand","1"
"alfieri","1"
"alfonso","2"
"ali","2"
"alik","6"
"alike","2"
"all","221"
"allah","1"
"allay","1"
"alli","3"
"allot","1"
"allow","5"
"alloy","1"
"allur","1"
"almighti","3"
"almost","6"
"aloft","1"
"alon","24"
"alone","1"
"along","33"
"aloof","3"
"aloud","2"
"alp","2"
"alpine","3"
"alps","6"
"alreadi","1"
"also","2"
"altar","9"
"alter","1"
"altern","1"
"although","3"
"altogeth","1"
"alway","3"
"am","9"
"amass","1"
"amaz","2"
"amazon","1"
"ambit","5"
"ambition","5"
"ambracia","1"
"ambrosi","1"
"amid","1"
"amidst","11"
"amiss","1"
"among","7"
"amongst","2"
"amor","2"
"amphitheatr","1"
"ampl","1"
"amplest","1"
"an","62"
"anarch","1"
"anarchi","1"
"ancestr","1"
"anchise","1"
"anchor","1"
"anchorit","1"
"ancient","11"
"and","1423"
"andalusia","3"
"anew","3"
"angel","1"
"angelo","1"
"anger","1"
"angri","1"
"ani","1"
"anithet","1"
"anlac","1"
"annal","3"
"annihil","1"
"announc","1"
"annual","1"
"annul","1"
"anon","5"
"anoth","7"
"another","1"
"answer","5"
"antipathi","1"
"antiqu","2"
"apart","2"
"ape","2"
"apennin","1"
"apertur","1"
"apish","1"
"apollo","2"
"apostl","1"
"apostol","1"
"appal","3"
"appall","1"
"appeal","2"
"appear","14"
"appearedst","1"
"appeas","1"
"appetit","1"
"appl","1"
"applaud","1"
"applaus","1"
"apprentic","1"
"approach","2"
"approv","2"
"april","1"
"apt","1"
"arbit","1"
"arch","10"
"archangel","1"
"archeri","1"
"arches","1"
"ardenn","1"
"arduous","1"
"are","151"
"area","2"
"arena","4"
"arion","1"
"ariosto","2"
"aris","7"
"arise","2"
"ark","2"
"arm","17"
"armada","1"
"armament","1"
"armi","2"
"arms","3"
"arno","3"
"aros","2"
"around","26"
"arous","1"
"arqua","3"
"array","13"
"arrow","3"
"arrowi","1"
"art","37"
"artifici","1"
"artist","2"
"artizan","1"
"artless","1"
"arts","1"
"as","228"
"ascend","3"
"ash","11"
"ashes","1"
"asia","2"
"asian","1"
"asid","3"
"aside","1"
"ask","8"
"asp","1"
"aspect","9"
"aspir","4"
"assail","4"
"assassin","2"
"assert","1"
"assuag","2"
"assum","5"
"assyria","1"
"astound","1"
"at","76"
"athen","4"
"athena","5"
"athos","2"
"athwart","1"
"atlas","1"
"aton","3"
"attach","1"
"attack","1"
"attain","1"
"attend","1"
"attic","2"
"attica","1"
"attribut","1"
"aught","15"
"august","1"
"aurora","1"
"auspic","1"
"auster","3"
"austerest","1"
"austrian","1"
"autumn","3"
"avail","1"
"avalanch","1"
"avaric","1"
"aveng","3"
"aventicum","1"
"aver","2"
"avert","1"
"avouch","1"
"avow","2"
"aw","3"
"await","3"
"awak","8"
"awake","3"
"awaken","1"
"awar","1"
"away","32"
"awe","6"
"awestruck","1"
"awhil","5"
"awoke","1"
"axe","1"
"ay","1"
"aye","1"
"azur","4"
"babe","3"
"babylonian","1"
"bacchan","1"
"back","18"
"backward","2"
"bactrian","1"
"bad","2"
"bade","5"
"badg","1"
"baffl","6"
"bald","1"
"balefir","1"
"ball","2"
"ballpil","1"
"band","8"
"bane","1"
"banish","2"
"bank","16"
"banner","3"
"banquet","1"
"baptism","1"
"bar","7"
"barbar","5"
"barbarian","4"
"bard","13"
"bare","4"
"bark","7"
"baroni","1"
"barossa","1"
"barren","4"
"barrier","2"
"barter","1"
"base","10"
"baser","2"
"bask","1"
"bastard","1"
"bath","3"
"batter","1"
"batteri","1"
"battl","13"
"battlefield","1"
"battlement","5"
"baulk","1"
"bay","7"
"bayonet","1"
"be","181"
"beach","1"
"beacon","1"
"bead","1"
"beadsmen","1"
"beak","2"
"beam","10"
"bear","30"
"beard","2"
"bearer","1"
"beart","1"
"beast","2"
"beat","5"
"beauteous","2"
"beauti","38"
"beautifi","1"
"becam","7"
"becaus","9"
"becom","7"
"bed","2"
"bedew","1"
"bee","2"
"been","43"
"befel","2"
"befor","33"
"beg","1"
"began","2"
"begin","2"
"beguil","3"
"begun","6"
"beheld","14"
"beheldest","1"
"behest","1"
"behind","10"
"behold","18"
"behov","1"
"belgium","1"
"believ","3"
"bell","3"
"bellow","2"
"belong","1"
"belov","3"
"below","18"
"belt","2"
"bend","10"
"beneath","41"
"bent","3"
"benumb","1"
"bequeath","4"
"bereft","1"
"beseem","1"
"besid","4"
"bespeak","1"
"best","9"
"bestow","4"
"betid","2"
"betim","1"
"betray","1"
"better","9"
"between","12"
"betwixt","2"
"bewail","1"
"bewar","1"
"bewild","1"
"beyond","6"
"bid","10"
"bier","2"
"big","2"
"bigot","2"
"bill","1"
"billow","6"
"bind","3"
"bird","9"
"birth","16"
