Word,Frequency,Quote,Location ,Latitude,Longitude
minstrel,4,The Southern Scott  the minstrel who called fort,Scottland,56.88663204,-4.26793026
sigh,26,Swelling the breeze that sighed along the lengthening glen ,Laos ,19.85690215,102.4954935
oh,27,Oh dome displeasing unto British eye,Marialva,-23.4847265,-51.79255359
shriek,4, For wheresoeer the shrieking victim hath,Marialva,-23.4847265,-51.79255359
ah,12,Ah such alas the hero amplest fate,Africa,23.98893782,27.89810552
echo,13,While Afric echoes thrilled with Moorish matrons wail,Africa,23.98893782,27.89810552
song,22,See how the mighty shrink into a song,Africa,23.98893782,27.89810552
loud,15,That weighed upon her gentle dust  a cloud,Egypt,26.82114854,30.80386892
hearer,1,Which uttered  to the hearer eye appear,Persia,32.42730905,53.68701377
thunder,16,Leaps the live thunder   Not from one lone cloud ,Persia,32.42730905,53.68701377
ah,12, Ah  grievance sore  and listless dull delay ,ocean (Mediterranean Sea),35.10457782,19.29581412
beat,5,Beat back keen winter blast  and welcomed summer heat ,ocean (Mediterranean Sea),35.10457782,19.29581412
beat,5,As eagerly the barred up bird will beat,ocean (Mediterranean Sea),35.10457782,19.29581412
bid,10,He bids to sober joy that here sojourns,ocean (Mediterranean Sea),35.10457782,19.29581412
call,19,And when they on their father call,ocean (Mediterranean Sea),35.10457782,19.29581412
call,19,Hark to the boatswain call  the cheering cry ,ocean (Mediterranean Sea),35.10457782,19.29581412
command,5,The hoarse command  the busy humming din ,ocean (Mediterranean Sea),35.10457782,19.29581412
din,4,The hoarse command  the busy humming din ,ocean (Mediterranean Sea),35.10457782,19.29581412
ear,2, When deemed he no strange ear was listening,ocean (Mediterranean Sea),35.10457782,19.29581412
gasp,4, With a new colour as it gasps away ,ocean (Mediterranean Sea),35.10457782,19.29581412
groan,5,He sinks into thy depths with bubbling groan ,ocean (Mediterranean Sea),35.10457782,19.29581412
groan,5,But why should I for others groan,ocean (Mediterranean Sea),35.10457782,19.29581412
harp,3,He seized his harp which he at times could string,ocean (Mediterranean Sea),35.10457782,19.29581412
hear,15, From all I meet or hear or see,ocean (Mediterranean Sea),35.10457782,19.29581412
hum,4,  The hoarse command  the busy humming din ,ocean (Mediterranean Sea),35.10457782,19.29581412
laugh,8, Will laugh to flee away,ocean (Mediterranean Sea),35.10457782,19.29581412
laugh,8, Peeps blushing on the revel laughing crew,ocean (Mediterranean Sea),35.10457782,19.29581412
loud,15,Of the loud breakers  and the ceaseless roar,ocean (Mediterranean Sea),35.10457782,19.29581412
music,11,   By the deep Sea  and music in its roar ,ocean (Mediterranean Sea),35.10457782,19.29581412
oh,27,And oh  the little warlike world within ,ocean (Mediterranean Sea),35.10457782,19.29581412
pipe,3,Strains his shrill pipe  as good or ill betides ,ocean (Mediterranean Sea),35.10457782,19.29581412
shriek,4,And shrieks the wild seamew,ocean (Mediterranean Sea),35.10457782,19.29581412
shrill,3,Let winds be shrill let waves roll high,ocean (Mediterranean Sea),35.10457782,19.29581412
sigh,26,The nightwinds sigh the breakers roar,ocean (Mediterranean Sea),35.10457782,19.29581412
sigh,26,But sorely will my mother sigh,ocean (Mediterranean Sea),35.10457782,19.29581412
sigh,26,For who would trust the seeming sighs,ocean (Mediterranean Sea),35.10457782,19.29581412
sigh,26, When none will sigh for me,ocean (Mediterranean Sea),35.10457782,19.29581412
silent,11, The silent thought nor from his lips did come,ocean (Mediterranean Sea),35.10457782,19.29581412
song,22,My task is done my song hath ceased my theme,ocean (Mediterranean Sea),35.10457782,19.29581412
wail,3,Why dost thou weep and wail,ocean (Mediterranean Sea),35.10457782,19.29581412
wail,3,One word of wail whilst others sate and wept,ocean (Mediterranean Sea),35.10457782,19.29581412
word,18, One word of wail whilst others sate and wept,ocean (Mediterranean Sea),35.10457782,19.29581412
word,18,When  at a word  the tops are manned on high ,ocean (Mediterranean Sea),35.10457782,19.29581412
word,18,Stumble over heaving plains  and man  dread hath no words ,ocean (Mediterranean Sea),35.10457782,19.29581412
ask,8,Nor ask so dear a breast to feel one pang for mine ,Calypso Isles,36.04731997,14.24967312
sigh,26,While thus of both bereft  the nymph queen doubly sighed , Calypso Isles  (Gozo),36.04731997,14.24967312
silenc,8, But not in silence pass Calypso isles ,Calypso Isles ,36.04731997,14.24967312
music,11,The soul and source of music  which makes known,Cytherea ,36.2503344,22.99982875
bard,13,As moonstruck bards complain by Love sad archery,Cadiz,36.52828868,-6.288457365
call,19,Calls forth a sweeter though ignoble praise,Cadiz,36.52828868,-6.288457365
din,4, Hushed is the din of tongueson gallant steeds,Cadiz,36.52828868,-6.288457365
loud,15,The crowd loud shout and ladies lovely glance,Cadiz,36.52828868,-6.288457365
proclaim,3,Soon as the matin bell proclaimeth nine,Cadiz,36.52828868,-6.288457365
sound,21, Thrice sounds the clarion lo the signal falls,Cadiz ,36.52828868,-6.288457365
sound,21,And wildly staring spurns with sounding foot,Cadiz ,36.52828868,-6.288457365
trumpet,2,Long ere the first loud trumpet note is heard,Cadiz,36.52828868,-6.288457365
call,19,Leap from Eurotas  banks  and call thee from the tomb ,Eurotas,37.06999951,22.44973385
bard,13,And bids him thank the bard for freedom and his strains ,Syracuse,37.07547638,15.28660283
bid,10,And bids him thank the bard for freedom and his strains ,Syracuse,37.07547638,15.28660283
chant,2, See  as they chant the tragic hymn  the car,Syracuse,37.07547638,15.28660283
hymn,3,  See  as they chant the tragic hymn  the car,Syracuse ,37.07547638,15.28660283
voice,20,Her voice their only ransom from afar ,Syracuse ,37.07547638,15.28660283
ah,12,Ah monarchs could ye taste the mirth ye mar,Seville,37.3992934,-5.988025798
boast,11,Fair is proud Seville let her country boast,Seville,37.3992934,-5.988025798
clarion,2,Nor here War clarion but Love rebeck sounds,Seville,37.3992934,-5.988025798
drum,3,The hoarse dull drum would sleep and Man be happy yet,Seville,37.3992934,-5.988025798
jingl,1,His quick bells wildly jingling on the way,Seville,37.3992934,-5.988025798
silent,11, Girt with the silent crimes of capitals,Seville,37.3992934,-5.988025798
soft,21,Ah Vice how soft are thy voluptuous ways,Seville,37.3992934,-5.988025798
song,22, The feast the song the revel here abounds,Seville,37.3992934,-5.988025798
song,22, The feast the song the revel here abounds,Seville,37.3992934,-5.988025798
song,22, The song is heard the rosy garland worn,Seville,37.3992934,-5.988025798
sound,21, Nor here War clarion but Love rebeck sounds,Seville,37.3992934,-5.988025798
clang,1,Sounds not the clang of conflict on the heath,Andalusia ,37.55590724,-4.725238383
crow,1,To feed the crow on Talavera plain,Andalusia ,37.55590724,-4.725238383
heard,14,  Hark heard you not those hoofs of dreadful note,Andalusia,37.55590724,-4.725238383
heard,14,When her warsong was heard on Andalusia shore,Andalusia ,37.55590724,-4.725238383
song,22,When her warsong was heard on Andalusia shore,Andalusia ,37.55590724,-4.725238383
song,22,  The song of love than Andalusia maids,Andalusia ,37.55590724,-4.725238383
sound,21,Sounds not the clang of conflict on the heath,Andalusia ,37.55590724,-4.725238383
warsong,1,When her warsong was heard on Andalusia shore,Andalusia ,37.55590724,-4.725238383
boast,11,Boast of the aged  lesson of the young ,Ionian,37.97001035,21.3792051
music,11,Music arose with its voluptuous swell ,Athens,37.98433004,23.72925328
softer,2, A softer feeling for her fairy halls , Athens,37.98433004,23.72925328
bid,10,The fault of a friend  bid an enemy live ,Chimari  ,37.99931671,23.74963505
heard,14,And in Chimari heard the thunder hills of fear ,Chimari ,37.99931671,23.74963505
boast,11,Are rarely seen  nor can fair Tempe boast,Attica ,38.04681751,23.85984486
boast,11,Are rarely seen  nor can fair Tempe boast,Attica ,38.04681751,23.85984486
word,18,From birth till death enslaved  in word  in deed  unmanned ,Attica ,38.04681751,23.85984486
oh,27,Oh  that the Desert were my dwelling place ,Symplegades   ,38.07500959,23.88138206
bewail,1,  Doomed to bewail the blasphemy of laws,Morat and Marathon,38.15272065,23.96095871
word,18,When Marathon became a magic word ,Marathon,38.15272065,23.96095871
hymn,3,The Pythian hymn with more than mortal fire,Delphi,38.48137965,22.49474623
sigh,26, Yes sighed over Delphi longdeserted shrine,Delphi,38.48137965,22.49474623
silenc,8,Silence  but not submission   in his lair,Delphi ,38.48137965,22.49474623
accent,2,That I in feeblest accents must adore/When I recount thy worshippers of yore,Parnassus ,38.53499753,22.62029119
ask,8,Not NOW in snow  which asks the lyric Roman  aid,Parnassus ,38.53499753,22.62029119
bard,13,Happier in this than mightiest bards have been,Parnassus ,38.53499753,22.62029119
echo,13,  Would gladly woo thine echoes with his string,Parnassus ,38.53499753,22.62029119
silent,11,In silent joy to think at last I look on thee,Parnassus ,38.53499753,22.62029119
unutter,1,  For still they soared unutterably high ,Parnassus,38.53499753,22.62029119
voice,20, Nor raise my voice nor vainly dare to soar,Parnassus ,38.53499753,22.62029119
ah,12,Ah  happy years  once more who would not be a boy ,Calpe straits,38.6434262,0.045586853
bid,10, Tis night  when Meditation bids us feel,Calphe Straits,38.6434262,0.045586853
boast,11,  A scene where mingling foes should boast and bleed,La Albuera,38.71755326,-6.826581
song,22,And shine in worthless lays the theme of transient song,La Albuera ,38.71755326,-6.826581
command,5,Gainst those who most transgress his high command,Lisboa ,38.72116008,-9.141055326
bard,13,Than those whereof such things the bard relates,Cintra (Sintra Mountains),38.79406925,-9.417697198
command,5,Gainst those who most transgress his high command,Cintra (Sintra Mountains),38.79406925,-9.417697198
oh,27,Oh Christ it is a goodly sight to see,Cintra (Sintra Mountains),38.79406925,-9.417697198
oh,27,Oh that such hills upheld a freeborn race,Cintra (Sintra Mountains),38.79406925,-9.417697198
oh,27,Oh there is sweetness in the mountain air,Cintra (Sintra Mountains),38.79406925,-9.417697198
whisper,6, And conscious Reason whispered to despise,Cintra (Sintra Mountains),38.79406925,-9.417697198
call,19,Mine dares not call thee from thy sacred hill,Hellas ,39.07312092,21.82568319
lyre,5, Since shamed full oft by later lyres on earth,Hellas,39.07312092,21.82568319
minstrel,4,Muse formed or fabled at the minstrel will,Hellas,39.07312092,21.82568319
oh,27,Oh thou in Hellas deemed of heavenly birth,Hellas,39.07312092,21.82568319
ah,12, Ah that to these were given such peaceful shades,Greece,39.07365399,21.82533987
ah,12,Ah  Greece  they love thee least who owe thee most ,Greece,39.07365399,21.82533987
bade,5,And years  that bade thy worship to expire ,Greece,39.07365399,21.82533987
bade,5,And years  that bade thy worship to expire ,Greece,39.07365399,21.82533987
bade,5,And round Orestes bade them howl and hiss,Greece,39.07365399,21.82533987
bard,13,Which sages venerate and bards adore,Greece,39.07365399,21.82533987
bard,13,Sophists  Bards  Statesmen  all unquiet things,Greece,39.07365399,21.82533987
bard,13,Our little life  nor bard prescribe his art ,Greece,39.07365399,21.82533987
bid,10,Of rock built cities  bidding nations quake ,Greece,39.07365399,21.82533987
boast,11, If Greece one true born patriot can boast ,Greece,39.07365399,21.82533987
call,19,Mine dares not call thee from thy sacred hill,Greece,39.07365399,21.82533987
call,19, The muezzin call doth shake the minaret ,Greece,39.07365399,21.82533987
call,19,  But History purchased page to call them great ,Greece,39.07365399,21.82533987
call,19, Thou  who didst call the Furies from the abyss ,Greece,39.07365399,21.82533987
call,19,Thy former realm  I call thee from the dust ,Greece,39.07365399,21.82533987
