,Word,Frequency,,,,,
1,the,4990,,,,,
2,and,4294,,,,,
3,to,4108,,,,,
4,of,4090,,,,,
5,in,3570,,,,,
6,that,3549,,,,,
7,with,3261,,,,,
8,from,2990,,,,,
9,for,2852,,,,,
10,as,2775,,,,,
11,by,2645,,,,,
12,on,2553,,,,,
13,or,2534,,,,,
14,it,2496,,,,,
15,not,2473,,,,,
16,is,2467,,,,,
17,i,2459,,,,,
18,but,2355,,,,,
19,his,2308,,,,,
20,be,2214,,,,,
21,this,2126,,,,,
22,all,2112,,,,,
23,their,2034,,,,,
24,was,2033,,,,,
25,her,1982,,,,,
26,he,1976,,,,,
27,are,1905,,,,,
28,they,1890,,,,,
29,at,1853,,,,,
30,when,1838,,,,,
31,if,1829,,,,,
32,love,1774,,,,,
33,my,1753,,,,,
34,what,1727,,,,,
35,which,1717,,,,,
36,who,1704,,,,,
37,heart,1661,,,,,
38,no,1660,,,,,
39,like,1652,,,,,
40,she,1646,,,,,
41,we,1642,,,,,
42,may,1622,,,,,
43,thi,1617,,,,,
44,have,1605,,,,,
45,one,1549,,,,,
46,him,1510,,,,,
47,will,1510,,,,,
48,through,1498,,,,,
49,nor,1497,,,,,
50,so,1493,,,,,
51,while,1493,,,,,
52,still,1491,,,,,
53,there,1484,,,,,
54,yet,1470,,,,,
55,had,1464,,,,,
56,long,1456,,,,,
57,upon,1454,,,,,
58,our,1445,,,,,
59,then,1437,,,,,
60,me,1435,,,,,
61,where,1433,,,,,
62,such,1398,,,,,
63,see,1398,,,,,
64,shall,1397,,,,,
65,thou,1393,,,,,
66,now,1391,,,,,
67,did,1360,,,,,
68,thought,1354,,,,,
69,far,1341,,,,,
70,even,1340,,,,,
71,them,1330,,,,,
72,day,1327,,,,,
73,look,1324,,,,,
74,how,1322,,,,,
75,some,1297,,,,,
76,light,1296,,,,,
77,life,1292,,,,,
78,seem,1285,,,,,
79,though,1283,,,,,
80,come,1271,,,,,
81,more,1267,,,,,
82,were,1262,,,,,
83,whose,1261,,,,,
84,would,1253,,,,,
85,here,1246,,,,,
86,can,1241,,,,,
87,way,1235,,,,,
88,littl,1232,,,,,
89,earth,1231,,,,,
90,could,1230,,,,,
91,spirit,1228,,,,,
92,everi,1227,,,,,
93,eye,1226,,,,,
94,hand,1213,,,,,
95,into,1210,,,,,
96,down,1197,,,,,
97,an,1195,,,,,
98,live,1194,,,,,
99,might,1180,,,,,
100,own,1177,,,,,
101,than,1173,,,,,
102,mind,1165,,,,,
103,heard,1163,,,,,
104,soul,1159,,,,,
105,old,1156,,,,,
106,ye,1145,,,,,
107,time,1141,,,,,
108,befor,1140,,,,,
109,heaven,1138,,,,,
110,must,1134,,,,,
111,out,1127,,,,,
112,joy,1124,,,,,
113,thus,1119,,,,,
114,wind,1118,,,,,
115,man,1116,,,,,
116,up,1101,,,,,
117,forth,1101,,,,,
118,your,1099,,,,,
119,night,1097,,,,,
120,other,1092,,,,,
